#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
ijbbgkph-1,Cluster 1,0,20.72
akdimeam-1,Cluster 4,0,44.80
ihdkkbno-1,Cluster 4,0,44.95
akdohfed-1,Cluster 4,0,77.75
akdopjdf-1,Cluster 4,0,83.67
ijbchdhh-1,Cluster 1,0,27.32
akdnhobb-1,Cluster 4,0,79.06
ihdjoaac-1,Cluster 4,0,26.60
iheaegfk-1,Cluster 1,0,65.77
ihdnpmpl-1,Cluster 4,0,50.73
ihdpmcca-1,Cluster 4,0,51.56
iheankhh-1,Cluster 5,0,126.86
ihebdijc-1,Cluster 7,0,54.84
iheafgoi-1,Cluster 7,0,83.56
inocdedc-1,Cluster 1,0,21.01
akdngaob-1,Cluster 4,0,68.45
aigpaiig-1,Cluster 4,0,44.21
aihecbhg-1,Cluster 4,0,64.42
innkbgnh-1,Cluster 3,0,99.52
innidpfb-1,Cluster 1,0,25.24
inniemad-1,Cluster 5,0,72.99
innmagjl-1,Cluster 4,0,51.35
inniigfn-1,Cluster 6,0,53.18
akebnlkp-1,Cluster 4,0,69.29
akebepoc-1,Cluster 4,0,128.66
ihehanad-1,Cluster 3,0,11.35
ihehhhpp-1,Cluster 3,0,26.10
akebhnjo-1,Cluster 1,0,39.92
akdmbdbl-1,Cluster 4,0,56.13
innikhjl-1,Cluster 4,0,84.62
ijbbkhpa-1,Cluster 4,0,74.15
akdmgmci-1,Cluster 1,0,67.47
ihecdfli-1,Cluster 5,0,91.24
ihdmcdcb-1,Cluster 4,0,62.22
inpkpfpn-1,Cluster 5,0,26.40
inloglef-1,Cluster 6,0,83.63
aiiiiejf-1,Cluster 4,0,92.39
aiiiemoh-1,Cluster 4,0,63.29
aiiipajk-1,Cluster 4,0,64.01
fnafcicg-1,Cluster 4,0,241.74
inmjdflh-1,Cluster 4,0,20.62
inmanjoj-1,Cluster 4,0,45.55
fnagdpgn-1,Cluster 4,0,134.81
fnadmmbi-1,Cluster 4,0,53.13
inmcifpp-1,Cluster 4,0,91.52
inlabbkd-1,Cluster 4,0,67.68
fnadjiff-1,Cluster 4,0,52.86
fnabgifd-1,Cluster 4,0,63.41
inmdhfdj-1,Cluster 4,0,108.55
inlabbkn-1,Cluster 4,0,78.59
aiicgfal-1,Cluster 4,0,144.15
aiiakped-1,Cluster 4,0,41.44
inofmmni-1,Cluster 4,0,85.94
aiiagjci-1,Cluster 4,0,118.34
aiiefdim-1,Cluster 4,0,85.22
innbapil-1,Cluster 4,0,41.46
innenbbj-1,Cluster 4,0,29.05
aiiehejp-1,Cluster 4,0,41.01
aiidpnbd-1,Cluster 4,0,46.81
aiidfock-1,Cluster 4,0,28.41
aiifpidd-1,Cluster 4,0,48.84
aiieaebn-1,Cluster 4,0,28.27
aiihkiaj-1,Cluster 4,0,26.92
aiijgibi-1,Cluster 7,0,76.75
fnabanpa-1,Cluster 4,0,95.72
fnaapiho-1,Cluster 4,0,103.83
inponped-1,Cluster 1,0,46.69
fnaaobll-1,Cluster 1,0,32.01
inponogn-1,Cluster 1,0,57.21
inlpkgne-1,Cluster 4,0,30.78
inlpgdid-1,Cluster 3,0,59.11
inlnneeo-1,Cluster 6,0,25.58
inlohpjf-1,Cluster 3,0,12.30
inlohgok-1,Cluster 4,0,56.97
inljbcnk-1,Cluster 5,0,22.60
inlmmdgk-1,Cluster 4,0,146.76
inlokeoi-1,Cluster 3,0,85.81
aiieopjc-1,Cluster 4,0,79.27
aiidbala-1,Cluster 4,0,59.26
inpjofef-1,Cluster 4,0,42.80
aiibikig-1,Cluster 4,0,44.73
aiiggfkb-1,Cluster 4,0,80.76
inpkegdd-1,Cluster 7,0,40.47
aiicfjbn-1,Cluster 4,0,49.78
inpjhbmj-1,Cluster 7,0,39.65
aiigbcbb-1,Cluster 4,0,64.09
aiihedpg-1,Cluster 4,0,72.56
aiijhhae-1,Cluster 4,0,57.97
aiimfcle-1,Cluster 4,0,54.36
aiigjikb-1,Cluster 4,0,41.70
inoeekoe-1,Cluster 7,0,13.66
aigpgbcg-1,Cluster 4,0,81.66
aigppknj-1,Cluster 4,0,57.59
aihagojg-1,Cluster 4,0,51.85
aihacdac-1,Cluster 4,0,77.89
inmnhkpp-1,Cluster 4,0,93.09
inmoladf-1,Cluster 4,0,20.66
aihalegn-1,Cluster 4,0,67.99
inogiiha-1,Cluster 1,0,49.32
inodkgnc-1,Cluster 4,0,102.93
aihbbmjc-1,Cluster 4,0,48.79
aihdpopl-1,Cluster 1,0,38.86
aihajfck-1,Cluster 4,0,49.30
aihdbdkh-1,Cluster 4,0,66.55
inodfpgl-1,Cluster 1,0,32.98
innmghjd-1,Cluster 1,0,31.80
ihehjklo-1,Cluster 3,0,43.44
ihecnege-1,Cluster 5,0,120.33
inohabpj-1,Cluster 1,0,77.77
innicjeg-1,Cluster 3,0,137.38
inoicnoc-1,Cluster 4,0,133.86
iheedapa-1,Cluster 5,0,145.56
innjilci-1,Cluster 1,0,82.95
ihecmbfm-1,Cluster 5,0,107.85
innnjggh-1,Cluster 4,0,74.31
ihehchck-1,Cluster 3,0,55.85
inomhblk-1,Cluster 4,0,75.19
aigphaph-1,Cluster 4,0,74.82
inogmpii-1,Cluster 4,0,100.84
inoidicn-1,Cluster 4,0,57.22
inmnfigk-1,Cluster 4,0,118.00
ogmgbedh-1,Cluster 1,0,152.42
inpiboci-1,Cluster 5,0,33.56
inpmkofd-1,Cluster 7,0,14.53
aihdhfgl-1,Cluster 4,0,64.91
inplmoel-1,Cluster 7,0,18.10
