cell_id,Tile,Clone
bbjgcnmd-1,1_plate4_4A_,255_255_0
bbjgeblm-1,1_plate4_4A_,255_255_0
bbjgmgpn-1,1_plate4_4A_,255_255_0
bbjhahko-1,1_plate4_4A_,255_255_0
bbjhanfo-1,1_plate4_4A_,255_255_0
bbjhcocb-1,1_plate4_4A_,255_255_0
bbjhklap-1,1_plate4_4A_,255_255_0
bbjhmppc-1,1_plate4_4A_,255_255_0
bbjhnaee-1,1_plate4_4A_,255_255_0
bbjhppbd-1,1_plate4_4A_,255_255_0
bbjifpjo-1,1_plate4_4A_,255_255_0
bbjihnmk-1,1_plate4_4A_,255_255_0
bbjijdcl-1,1_plate4_4A_,255_255_0
bbjijfji-1,1_plate4_4A_,255_255_0
bbjilghh-1,1_plate4_4A_,255_255_0
bbjimcfa-1,1_plate4_4A_,255_255_0
bbjimmjf-1,1_plate4_4A_,255_255_0
bbjinldb-1,1_plate4_4A_,255_255_0
bbjiplka-1,1_plate4_4A_,255_255_0
bbjjdoed-1,1_plate4_4A_,255_255_0
bbjjenol-1,1_plate4_4A_,255_255_0
bbjjhpgn-1,1_plate4_4A_,255_255_0
bbjjioek-1,1_plate4_4A_,255_255_0
bbjjpgen-1,1_plate4_4A_,255_255_0
bbjjpljp-1,1_plate4_4A_,255_255_0
